exper_data_id	pop_label	data_group_name	data_id	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward
B201-20180323_095046_proc	N2250L546	B201	N2250L546_NGM_B201	20180323	95046	1295.893	1039.28571428571	1094	877.370717666174	2.94318313568984	23.7	25	Paris2	NGM	-2.69241402015169	-3.06070731197787	-0.0267977014707817	-3.37931167894791	0.23919902735436	-2.7453494462403	1.18747204019387	-1.433519412127	-3.14824583319159
B201-20180323_101436_proc	PB250L482	B201	PB250L482_NGM_B201	20180323	101436	1296.068	268.819047619048	4374	907.216684838847	2.95771102883588	23.8	25	Paris2	NGM	-1.00295559995527	-2.46766181884522	-1.46461645498566	-6.10809045040155	-0.212442675332976	-3.20429202398893	-1.12414666758713	0.983466655573837	-3.58601236996516
B201-20180323_104228_proc	N2250L544	B201	N2250L544_NGM_B201	20180323	104228	1149.702	662.979946524064	1709	985.50122432563	2.99365716815634	23.9	26	Paris2	NGM	-1.7580892136857	-2.48746977012824	-0.380746893366402	-4.86282931455649	0.0434769363035962	-3.75604890539731	0.441784383749403	-0.667927278251214	-2.89593744517079
B201-20180323_110222_proc	N2250L574	B201	N2250L574_NGM_B201	20180323	110222	1199.912	638.821305841924	1799	957.769844129921	2.98126115893947	23.9	26	Paris2	NGM	-1.83023149725728	-2.58357088395729	-0.494608687777759	-4.81259563284301	0.058642495808536	-3.36155832664572	0.296329609564124	-0.489847371131838	-3.02011300906992
B201-20180323_112528_proc	N2250L551	B201	N2250L551_NGM_B201	20180323	112528	1213.532	549.460861056751	1557	704.975691341771	2.84817414210042	24	27	Paris2	NGM	-1.87704140597485	-2.65494179542472	-0.784776892681814	-3.38481810682511	-0.11140730160972	-1.88001704749411	0.210851550409294	-0.407831607210635	-2.98628420923889
B201-20180323_114618_proc	N2250L563	B201	N2250L563_NGM_B201	20180323	114618	1198.037	408.518981018981	4899	1670.51141827171	3.22284944847188	24.1	27	Paris2	NGM	-1.87152347898477	-2.5338143917088	-0.857319630253736	-4.39994853740736	-0.362638556686183	-2.97523278519369	0.177023900865622	-0.448462060020424	-2.64767022766059
B201-20180323_120651_proc	PB250L457	B201	PB250L457_NGM_B201	20180323	120651	1198.474	220.050986050986	6354	1166.65356559088	3.06694191269616	24.2	28	Paris2	NGM	-1.00041917330623	-1.95349383917384	-1.47866420281659	-5.60972878379751	-0.0301114167617891	-2.78532846363011	-1.13818185741631	0.946052992746866	-3.25843524577424
B201-20180323_130708_proc	N2250L565	B201	N2250L565_NGM_B201	20180323	130708	1295.624	623.410035842294	2106	1013.33530058402	3.00575317201273	24.4	29	Paris2	NGM	-1.9127792377798	-2.61019711455923	-0.83681116435087	-4.52615186858592	-0.333333561592718	-2.94273680918993	0.165741750946464	-0.405217445893806	-2.77663858463215
B201-20180323_133640_proc	N2250L573	B201	N2250L573_NGM_B201	20180323	133640	1299.395	733.89590443686	2839	1603.46197476229	3.20505866532669	24.5	29	Paris2	NGM	-2.22161859693264	-2.60053262138275	-0.619820044151068	-3.89836504085781	-0.195377481896517	-2.75909552023352	0.555991106553094	-0.860988837364723	-2.62824242165998
B201-20180323_140321_proc	PBancL0	B201	PBancL0_NGM_B201	20180323	140321	1297.325	241.59767610748	8737	1627.07023772074	3.21140630105986	24.5	30	Paris2	NGM	-0.863373146314505	-1.83314911299032	-1.57208950715712	-4.92861745495449	-0.33758665854405	-1.9249563936354	-1.2760483206718	1.02529538865834	-3.03719414823188
B201-20180323_142909_proc	PB250L426	B201	PB250L426_NGM_B201	20180323	142909	1297.696	391.039215686275	3184	959.44571205051	2.98202040624824	24.5	30	Paris2	NGM	-1.43656966749678	-2.01701955628513	-0.966454897241841	-4.09380914807969	-0.187375227413291	-1.98266769464314	-0.413476036656086	0.121739881074279	-2.56351694935001
B201-20180323_152503_proc	N2250L536	B201	N2250L536_NGM_B201	20180323	152503	1296.207	568.019572953737	3657	1602.55852521381	3.20481389885437	24.3	29	Paris2	NGM	-2.17536445805989	-2.8110455338584	-0.935793530923225	-4.17083117563957	-0.471060066572954	-2.69681681466902	0.34681952263266	-0.636549529467935	-2.61582369247253
B201-20180323_155335_proc	N2ancL0	B201	N2ancL0_NGM_B201	20180323	155335	1296.978	327.853958143767	4571	1155.4709815241	3.06275904308886	24.7	31	Paris2	NGM	-1.32729350759913	-2.46891745035718	-1.21907625587891	-4.82085983394145	-0.367854993375022	-2.38636564055222	-0.611063046517301	0.432388201399617	-3.13367287000442
B201-20180323_162838_proc	N2250L575	B201	N2250L575_NGM_B201	20180323	162838	1297.125	558.253937007874	2098	902.932839813063	2.95565544867087	24.8	32	Paris2	NGM	-1.61280846016303	-2.25464593688595	-0.51848205832569	-4.01495996869287	0.0176352987336474	-2.60163696041728	0.103467556976519	-0.340093545195456	-2.78082111590426
B201-20180323_165951_proc	PB250L476	B201	PB250L476_NGM_B201	20180323	165951	1297.318	228.086468001954	6979	1227.00483627425	3.08884627451436	25	32	Paris2	NGM	-0.857161999583613	-2.00716371752188	-1.62710814045458	-5.20901936668115	-0.20814503608279	-2.26425584249156	-1.27895085721686	1.08967981888147	-3.34833553302538
B202-20180326_095102_proc	N2250L543	B202	N2250L543_NGM_B202	20180326	95102	1228.877	468.186936936937	4942	1882.8408720664	3.27481361725313	29.3	23	Paris2	NGM	-2.0045408460888	-2.46433625407785	-1.28976054482299	-3.98390627935938	-0.609287420353456	-2.07990795128084	-0.200914071877268	-0.153700911928565	-2.333205306422
B202-20180326_101200_proc	N2250L542	B202	N2250L542_NGM_B202	20180326	101200	1198.106	580.591147786947	3167	1534.69907090129	3.18602323019794	28.8	24	Paris2	NGM	-1.80033728475163	-2.45032214362034	-0.759972764610055	-4.30598371102594	-0.305231252439529	-2.41625243535748	0.155761335152048	-0.424035736653133	-2.6565448216045
B202-20180326_103238_proc	PBancL0	B202	PBancL0_NGM_B202	20180326	103238	1295.668	305.294930875576	4355	1026.15749093374	3.01121401983477	28.4	25	Paris2	NGM	-1.1157841921731	-2.04148562526424	-1.31332596166472	-4.98557464657507	-0.00854625579114799	-2.12735700134617	-0.983950522335689	0.799479418828956	-3.23065523590034
B202-20180326_105446_proc	N2250L572	B202	N2250L572_NGM_B202	20180326	105446	1296.665	346.244584837545	4680	1249.68643176126	3.0968010545765	28.2	26	Paris2	NGM	-1.52519926355118	-2.40279929511166	-1.64924476834383	-5.03371378605297	-0.398690208456839	-2.61624754684133	-0.955298802527133	0.758666760380884	-3.14938906807303
B202-20180326_115158_proc	N2ancL0	B202	N2ancL0_NGM_B202	20180326	115158	1227.759	754.385194479297	1674	1028.57386144866	3.01223548365137	27.8	26	Paris2	NGM	-1.80844773608956	-2.35743642791076	-0.445030625924165	-4.28642611481699	-0.0723643434664857	-2.98989167714969	0.395953343531459	-0.696084040420473	-2.59278884996954
B202-20180326_121305_proc	PB250L462	B202	PB250L462_NGM_B202	20180326	121305	1297.809	188.98676056338	8808	1282.61969753812	3.10809790521043	27.4	23	Paris2	NGM	-0.768773836400232	-1.70703704284807	-2.15556880490486	-5.9668493427165	-0.296506618148545	-1.75867868806657	-2.01640280696533	1.79910679119365	-3.68560138380569
B202-20180326_123827_proc	PB250L458	B202	PB250L458_NGM_B202	20180326	123827	1297.841	192.174896049896	9339	1382.85148505093	3.14077554042293	27.1	24	Paris2	NGM	-0.909451737847027	-1.8556450995088	-2.25852551393785	-5.55930036899764	-0.344294448835219	-1.87110918009934	-2.02087277184739	1.80668619999357	-3.70496780459145
